epoch,accuracy,loss,val_accuracy,val_loss
0,0.41818180680274963,2.2133445739746094,0.2818181812763214,2.4586575031280518
1,0.5727272629737854,1.5618444681167603,0.2818181812763214,3.699577808380127
2,0.6045454740524292,1.4538997411727905,0.2818181812763214,3.6410560607910156
3,0.6272727251052856,1.4287370443344116,0.2818181812763214,3.5505623817443848
4,0.7295454740524292,1.1365793943405151,0.2818181812763214,3.145480155944824
5,0.699999988079071,1.1617082357406616,0.2818181812763214,2.298666000366211
6,0.7454545497894287,1.1653252840042114,0.2818181812763214,2.003018379211426
7,0.6954545378684998,1.0529462099075317,0.30909091234207153,1.8544821739196777
8,0.6931818127632141,1.1415919065475464,0.2818181812763214,2.098792314529419
9,0.75,1.0433613061904907,0.2818181812763214,2.096510648727417
10,0.7568181753158569,0.9179136157035828,0.2818181812763214,1.7669659852981567
11,0.75,1.0037763118743896,0.30000001192092896,1.5593591928482056
12,0.7704545259475708,0.8687156438827515,0.2818181812763214,2.0370032787323
13,0.7295454740524292,1.029306411743164,0.2818181812763214,2.2599434852600098
14,0.7545454502105713,0.953779935836792,0.2818181812763214,2.421203136444092
15,0.7477272748947144,0.9370990991592407,0.2818181812763214,2.3356592655181885
16,0.7113636136054993,1.0443670749664307,0.290909081697464,1.7158948183059692
17,0.7363636493682861,0.9757707715034485,0.290909081697464,1.7331792116165161
18,0.7909091114997864,0.8703925609588623,0.290909081697464,1.7414391040802002
19,0.7409090995788574,0.970513105392456,0.30000001192092896,1.7487350702285767
0,0.6181818246841431,1.3038357496261597,0.6909090876579285,0.8801385164260864
1,0.6636363863945007,1.1150315999984741,0.6818181872367859,0.8824026584625244
2,0.6704545617103577,1.0948636531829834,0.7090908885002136,0.8828771710395813
3,0.699999988079071,0.9877147078514099,0.6454545259475708,0.9298726916313171
4,0.7386363744735718,0.9636827707290649,0.6181818246841431,0.9925702214241028
5,0.7250000238418579,0.9596870541572571,0.4909090995788574,1.10912024974823
6,0.7136363387107849,0.986503005027771,0.4909090995788574,1.1085004806518555
7,0.7454545497894287,0.8972923159599304,0.5272727012634277,1.0748211145401
8,0.7431818246841431,0.9581735134124756,0.6000000238418579,1.0588065385818481
9,0.7545454502105713,0.8686738610267639,0.581818163394928,1.064217448234558
10,0.7295454740524292,1.0315959453582764,0.6272727251052856,1.052899718284607
11,0.7590909004211426,0.9203410744667053,0.6272727251052856,1.0564110279083252
12,0.7318181991577148,0.9868019223213196,0.6363636255264282,1.0558587312698364
13,0.7340909242630005,0.929044783115387,0.6363636255264282,1.0599086284637451
